STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT08,trip_count
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-01,2.8,19.3,0.0,0.0,11.6,13.9,10.0,200,200,6.3,7.6,1.0,,20895
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-02,4.3,1.0,0.0,0.0,11.4,15.6,3.9,310,310,12.5,14.8,1.0,,44234
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-03,6.4,0.0,0.0,0.0,1.4,3.9,-4.3,340,350,12.5,15.2,,,34126
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-04,3.9,0.0,0.0,0.0,-2.7,2.2,-6.0,320,350,8.9,12.1,,,37879
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-05,3.4,6.1,0.0,0.0,3.2,8.9,0.0,250,200,6.7,10.7,1.0,1.0,35080
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-06,5.0,0.0,0.0,0.0,4.9,6.1,2.2,290,270,12.5,14.8,,,46004
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-07,8.3,8.4,246.0,200.0,0.7,2.2,-2.1,300,290,13.0,17.4,1.0,,17838
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-08,4.8,0.0,0.0,130.0,-2.5,0.0,-4.9,310,300,12.5,15.7,,,25129
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-09,4.9,2.8,0.0,80.0,1.4,5.6,-1.0,210,210,9.4,12.1,,,22088
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-10,7.5,0.0,0.0,0.0,1.6,5.6,-3.2,310,320,11.6,15.7,,,35717
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-11,6.4,0.0,0.0,0.0,-5.4,-3.2,-8.2,320,310,12.5,16.5,,,27704
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-12,4.4,0.0,0.0,0.0,-1.9,5.6,-6.6,220,220,8.9,11.2,,,41636
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-13,2.6,0.0,0.0,0.0,4.0,7.8,0.6,50,60,5.8,7.6,,,51798
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-14,7.6,0.0,0.0,0.0,4.8,6.1,-5.5,350,360,13.4,18.3,,,46837
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-15,5.8,0.0,0.0,0.0,-6.7,-5.5,-10.5,330,330,10.7,13.9,,,23717
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-16,5.5,9.1,15.0,0.0,-8.0,4.4,-12.1,50,80,10.3,13.0,1.0,,21588
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-17,8.6,26.9,0.0,0.0,3.9,7.8,1.7,60,60,16.1,19.2,1.0,1.0,29887
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-18,8.4,0.0,0.0,0.0,1.8,3.3,-0.5,310,300,14.8,19.2,,,44045
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-19,4.7,0.0,0.0,0.0,3.2,10.6,-1.6,200,200,9.4,13.0,,1.0,55371
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-20,5.4,6.4,8.0,0.0,5.1,8.3,-4.9,350,340,9.8,12.1,1.0,,34901
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-21,6.2,0.0,0.0,0.0,-6.0,-4.9,-9.3,10,20,11.2,13.9,,,35006
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-22,3.4,0.0,0.0,0.0,-5.9,-1.0,-9.9,20,30,7.2,8.9,,,33018
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-23,4.2,0.3,5.0,0.0,-0.7,3.3,-3.2,240,270,8.9,12.1,,1.0,33817
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-24,3.6,0.0,5.0,0.0,-0.2,3.3,-2.1,190,340,6.7,8.5,,1.0,42591
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-25,4.7,0.0,0.0,0.0,3.6,6.1,-1.0,300,200,9.4,12.5,,1.0,51982
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-26,5.6,0.0,0.0,0.0,-2.3,-1.0,-6.0,320,320,10.7,14.3,,,43279
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-27,3.7,0.0,0.0,0.0,-4.2,0.0,-7.7,160,180,7.6,9.4,,,45058
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-28,3.5,2.8,33.0,0.0,0.1,1.7,-1.0,30,30,8.1,11.2,1.0,1.0,35740
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-29,10.2,12.4,206.0,130.0,-4.8,-1.0,-9.3,340,350,14.3,20.6,1.0,1.0,2927
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-30,6.1,0.0,0.0,180.0,-7.1,-2.7,-9.9,310,310,12.5,16.5,,,9688
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-01-31,2.9,0.0,0.0,150.0,-3.4,-1.0,-7.1,50,60,4.5,7.2,,,22838
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-01,3.4,0.0,0.0,130.0,-1.7,2.8,-4.3,60,60,6.7,9.4,,,29993
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-02,2.3,0.0,0.0,100.0,2.3,5.6,-0.5,40,60,4.5,5.8,1.0,1.0,42955
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-03,2.6,10.7,0.0,50.0,6.4,8.9,3.9,190,170,4.5,6.3,1.0,1.0,27292
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-04,5.3,18.8,0.0,0.0,5.8,12.8,-2.1,310,320,10.7,12.5,1.0,,21072
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-05,7.9,0.0,0.0,0.0,-2.8,-1.6,-6.0,310,300,13.0,16.1,,,31980
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-06,3.2,0.0,0.0,0.0,-4.8,0.0,-8.2,180,180,6.3,8.1,,,30313
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-07,3.1,3.8,0.0,0.0,0.5,4.4,-0.5,40,50,5.8,7.6,1.0,1.0,31611
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-08,5.7,2.0,0.0,0.0,4.1,8.3,1.1,310,310,11.6,14.3,1.0,,53493
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-09,3.7,0.0,0.0,0.0,2.8,6.7,-0.5,270,260,7.6,10.7,,,57558
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-10,4.4,0.0,0.0,0.0,6.3,13.3,1.1,270,270,12.5,16.1,1.0,1.0,63584
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-11,5.0,0.0,0.0,0.0,8.6,13.3,2.8,170,170,11.2,14.8,,,66310
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-12,5.9,0.0,0.0,0.0,11.8,15.6,5.6,260,270,11.2,14.8,,,70299
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-13,4.7,4.8,61.0,30.0,2.8,5.6,-3.2,350,320,8.1,11.6,1.0,1.0,20897
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-14,7.9,0.0,0.0,50.0,-4.3,-2.7,-7.7,320,300,11.6,15.2,,,35732
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-15,4.9,0.0,0.0,0.0,-4.7,0.0,-7.7,310,320,9.4,11.2,,,41940
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-16,4.5,0.0,0.0,0.0,1.6,8.3,-2.7,190,180,8.9,11.2,,,55072
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-17,5.6,7.6,0.0,0.0,11.6,17.2,8.3,160,210,9.4,12.5,1.0,,69223
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-18,9.1,6.4,0.0,0.0,9.9,17.2,-2.1,320,310,16.5,22.4,,,48407
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-19,7.6,0.0,0.0,0.0,0.1,5.0,-3.8,300,290,16.5,20.6,,,33400
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-20,5.8,0.0,0.0,0.0,-2.6,2.2,-5.5,310,310,15.7,21.9,,,31959
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-21,3.4,0.0,0.0,0.0,4.1,12.2,0.6,210,220,7.2,10.3,,,53863
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-22,4.5,5.8,0.0,0.0,5.6,13.3,2.2,170,180,10.3,13.9,1.0,1.0,37452
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-23,6.4,0.0,0.0,0.0,14.4,20.0,2.2,320,320,14.3,17.9,,,68175
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-24,4.8,0.0,0.0,0.0,1.1,2.2,-1.6,330,330,9.4,11.6,,,46001
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-25,6.6,20.8,8.0,0.0,0.8,6.1,-2.7,320,320,11.6,15.7,1.0,,31350
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-26,5.0,0.0,0.0,0.0,-1.1,3.3,-4.3,320,310,10.7,14.3,,,42732
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-27,7.2,0.0,0.0,0.0,2.4,8.9,-1.0,310,250,13.4,19.2,,,44121
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-02-28,5.2,0.0,0.0,0.0,0.8,2.2,-2.7,320,320,11.2,15.7,,,46930
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-01,4.2,0.0,0.0,0.0,2.6,8.9,-0.5,170,190,10.3,13.0,,,57432
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-02,4.7,0.0,0.0,0.0,7.7,11.7,4.4,310,310,8.1,10.3,,,68718
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-03,8.2,0.8,0.0,0.0,5.6,8.9,-3.8,310,320,13.4,17.0,,,56795
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-04,4.2,0.0,0.0,0.0,-1.9,3.3,-5.5,340,310,9.4,11.2,,,51059
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-05,3.0,0.0,0.0,0.0,3.1,7.2,-0.5,160,180,8.1,10.3,,,52695
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-06,4.7,1.3,0.0,0.0,9.6,20.0,3.9,220,210,9.8,13.0,,,55948
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-07,6.2,1.3,0.0,0.0,18.2,23.3,10.0,290,290,20.1,25.0,,,69568
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-08,8.2,0.0,0.0,0.0,8.7,10.0,4.4,310,310,17.0,20.6,,,63778
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-09,4.4,14.7,15.0,0.0,3.2,5.0,0.6,40,40,7.6,9.4,1.0,,28822
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-10,2.5,0.0,0.0,0.0,4.0,10.0,0.0,170,130,5.4,6.7,1.0,1.0,67868
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-11,3.1,0.0,0.0,0.0,7.2,11.7,2.2,150,160,7.2,9.4,,1.0,71017
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-12,8.4,11.9,23.0,0.0,5.1,8.3,-3.8,320,300,17.9,21.5,1.0,,20336
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-13,7.3,0.0,3.0,0.0,-2.3,1.7,-4.9,290,300,16.1,21.5,,,31815
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-14,4.4,0.0,0.0,0.0,5.3,13.9,1.1,160,210,8.1,10.3,,,64895
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3.0,2022-03-15,4.1,0.0,0.0,0.0,11.6,20.0,7.8,310,310,11.2,13.0,,,80950
