,Starting Station,Ending Station,Trip Count
294975,Central Park S & 6 Ave,Central Park S & 6 Ave,14071
147755,7 Ave & Central Park South,7 Ave & Central Park South,10342
548203,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,9538
782306,Roosevelt Island Tramway,Roosevelt Island Tramway,8657
255088,Broadway & W 58 St,Broadway & W 58 St,8620
119320,5 Ave & E 72 St,5 Ave & E 72 St,7960
990822,West St & Chambers St,West St & Chambers St,7754
250496,Broadway & W 41 St,Broadway & W 41 St,7583
21418,12 Ave & W 40 St,12 Ave & W 40 St,7543
800519,Soissons Landing,Soissons Landing,7537
299319,Central Park West & W 72 St,Central Park West & W 72 St,6734
896957,W 21 St & 6 Ave,9 Ave & W 22 St,6345
1013413,Yankee Ferry Terminal,Yankee Ferry Terminal,5965
6539,1 Ave & E 62 St,1 Ave & E 68 St,5826
121089,5 Ave & E 87 St,5 Ave & E 87 St,5787
298391,Central Park West & W 68 St,Central Park West & W 68 St,5755
294061,Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,5710
986508,West Drive & Prospect Park West,West Drive & Prospect Park West,5558
787422,S 5 Pl & S 5 St,S 5 Pl & S 5 St,5440
7659,1 Ave & E 68 St,1 Ave & E 68 St,5339
